%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1658644055848221910,13007,1658644055800146081,gps,2,0,37.2390757,126.7730607,29.538,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644055949998215,13008,1658644055900146071,gps,2,0,37.2390757,126.7730607,29.529,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644056061108956,13009,1658644056000146060,gps,2,0,37.2390757,126.7730607,29.529,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644056158251074,13010,1658644056100146049,gps,2,0,37.2390757,126.7730607,29.53,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644056256287541,13011,1658644056200146038,gps,2,0,37.2390757,126.7730607,29.524,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644056362708105,13012,1658644056300146027,gps,2,0,37.2390757,126.7730607,29.53,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644056457361934,13013,1658644056400146016,gps,2,0,37.2390757,126.7730607,29.533,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644056551414238,13014,1658644056500146005,gps,2,0,37.2390757,126.7730607,29.534,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644056651550900,13015,1658644056600145994,gps,2,0,37.2390757,126.7730607,29.532,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644056748608029,13016,1658644056700145983,gps,2,0,37.2390757,126.7730607,29.532,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644056846953921,13017,1658644056800145972,gps,2,0,37.2390757,126.7730607,29.533,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644056948490811,13018,1658644056900145961,gps,2,0,37.2390757,126.7730607,29.53,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
1658644057056469717,13019,1658644057000145951,gps,2,0,37.2390757,126.7730607,29.529,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0001,2
