%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1658627658938131056,16849,1658627658899702452,gps,2,0,37.2405729,126.7740393,28.79,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627659077590797,16850,1658627658999702439,gps,2,0,37.2405734,126.7740397,28.786,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627659241174815,16851,1658627659199702411,gps,2,0,37.2405743,126.7740406,28.793,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627659337006628,16852,1658627659299702397,gps,2,0,37.2405746,126.774041,28.803,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627659438173496,16853,1658627659399702383,gps,2,0,37.2405751,126.7740414,28.79,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627659538358897,16854,1658627659499702369,gps,2,0,37.2405757,126.7740419,28.796,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627659638429142,16855,1658627659599702355,gps,2,0,37.2405762,126.7740424,28.805,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627659736033195,16856,1658627659699702341,gps,2,0,37.2405767,126.7740429,28.804,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627659840419285,16857,1658627659799702327,gps,2,0,37.2405773,126.7740435,28.802,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627659935983485,16858,1658627659899702313,gps,2,0,37.2405779,126.7740441,28.811,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627660079084280,16859,1658627659999702300,gps,2,0,37.2405785,126.7740447,28.814,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
